Address with post code (Gas Stations),Address,City,Post Code,Franchise (or private),Highway,Link
"4400 Nyíregyháza, László u. (mol)","Nyíregyháza, László u.",Nyíregyháza,4400,mol,0,https://holtankoljak.net/mol_Nyiregyhaza_Laszlou
"9400 Sopron, Ipar krt. 30. (shell)","Sopron, Ipar krt. 30.",Sopron,9400,shell,0,https://holtankoljak.net/shell_Sopron_Iparkrt30
"8253 Révfűlöp, Badacsonyi út 71. számú főút (omv)","Révfűlöp, Badacsonyi út 71. számú főút",Révfűlöp,8253,omv,0,https://holtankoljak.net/omv_Revfulop_Badacsonyiut71szamufout
"8360 Keszthely, Csapás út 27. (shell)","Keszthely, Csapás út 27.",Keszthely,8360,shell,0,https://holtankoljak.net/shell_Keszthely_Csapasut27
"1119 Budapest XI, Szeghalom u. (mol)","Budapest XI, Szeghalom u.",Budapest XI,1119,mol,0,https://holtankoljak.net/mol_Budapest_Szeghalomu
"6000 Kecskemét, 12950/76 hrsz Szolnoki út (lukoil)","Kecskemét, 12950/76 hrsz Szolnoki út",Kecskemét,6000,lukoil,0,https://holtankoljak.net/lukoil_Kecskemet_1295076hrszSzolnokiut
"2360 Gyál, Körösi út  (mol)","Gyál, Körösi út",Gyál,2360,mol,0,https://holtankoljak.net/mol_Gyal_Korosiut
"4700 Mátészalka, Alkotmány út 1 (shell)","Mátészalka, Alkotmány út 1",Mátészalka,4700,shell,0,https://holtankoljak.net/shell_Mateszalka_Alkotmanyut1
"8000 Székesfehérvár, Balatoni út 6111 hrsz (omv)","Székesfehérvár, Balatoni út 6111 hrsz",Székesfehérvár,8000,omv,0,https://holtankoljak.net/omv_Szekesfehervar_Balatoniut6111hrsz
"7100 Szekszárd, Pásztor út 6. (mol)","Szekszárd, Pásztor út 6.",Szekszárd,7100,mol,0,https://holtankoljak.net/mol_Szekszard_Pasztorut6
"2072 Zsámbék, M1 autópálya (Dél) (Lukoil)","Zsámbék, M1 autópálya",Zsámbék,2072,Lukoil,1,https://holtankoljak.net/lukoil_zsambek_m1autopalyadel
"5310 Kisújszállás, Deák Ferenc u. 133. (mol)","Kisújszállás, Deák Ferenc u. 133.",Kisújszállás,5310,mol,0,https://holtankoljak.net/mol_Kisujszallas_DeakFerencu133
"2119 Pécel, Köztársaság tér  (mol)","Pécel, Köztársaság tér",Pécel,2119,mol,0,https://holtankoljak.net/mol_Pecel_Koztarsasagter
"6000 Kecskemét, Békéscsabai út  (mol)","Kecskemét, Békéscsabai út",Kecskemét,6000,mol,0,https://holtankoljak.net/mol_Kecskemet_Bekescsabaiut
"4183 Kaba, 0513/118 hrsz. Meteorit út (MOL Partner+)","Kaba, 0513/118 hrsz. Meteorit út",Kaba,4183,MOL Partner+,0,https://holtankoljak.net/MOL_Partner+_Kaba_0513118hrszMeteoritut
"4002 Debrecen, István utca 124. (shell)","Debrecen, István utca 124.",Debrecen,4002,shell,0,https://holtankoljak.net/shell_Debrecen_Istvanutca124
"6786 Ruzsa, Öttömösi út 6. (magán kút)","Ruzsa, Öttömösi út 6.",Ruzsa,6786,magán kút,0,https://holtankoljak.net/magan_kut_Ruzsa_ottomosiut6
"2428 Kisapostag, 6-os főút 76 km (Duna Petrol)","Kisapostag, 6-os főút 76 km",Kisapostag,2428,Duna Petrol,0,https://holtankoljak.net/duna_petrol_kisapostag_6-osfout76km#tartalom
"4244 Újfehértó, 4.sz. fkl. út (mol)","Újfehértó, 4.sz. fkl. út",Újfehértó,4244,mol,0,https://holtankoljak.net/mol_ujfeherto_4szfklut
"2900 Komárom, Igmándi út 49. (omv)","Komárom, Igmándi út 49.",Komárom,2900,omv,0,https://holtankoljak.net/omv_Komarom_Igmandiut49
"2234 Maglód, Liszt Ferenc utca 6/a (oil)","Maglód, Liszt Ferenc utca 6/a",Maglód,2234,oil,0,https://holtankoljak.net/oil_Maglod_LisztFerencutca6a
"7733 Geresdlak, Hunyadi János utca (mobil-petrol)","Geresdlak, Hunyadi János utca",Geresdlak,7733,mobil-petrol,0,https://holtankoljak.net/mobil-petrol_Geresdlak_HunyadiJanosutca
